date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:40	262645/262645	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:38%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=552	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexa097.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:40	23233/23233	---M--	200	added ('OK')	image/png	etag:%225ac1-57a35e411c9e4%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Rhubarb-Ginger-Jam-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Rhubarb-Ginger-Jam-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:43	265193/265193	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:42%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=546	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index7e8a.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:45	305230/305230	---M--	200	added ('OK')	image/jpeg	etag:%224a84e-57a35e40e08ef%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/revslider/home-1/bg-slider-new.jpg	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/revslider/home-1/bg-slider-new.jpg	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:45	23950/23950	---M--	200	added ('OK')	image/png	etag:%225d8e-57a35e4119334%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Gooseberry-Elderflower-Extra-Jam-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Gooseberry-Elderflower-Extra-Jam-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:47	267805/267805	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:46%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=544	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index09a0.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:49	30183/30183	---M--	200	added ('OK')	image/png	etag:%2275e7-57a35e410f6f3%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Kitchen-Garden-Chilli-Jam-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Kitchen-Garden-Chilli-Jam-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:50	31516/31516	---M--	200	added ('OK')	image/png	etag:%227b1c-57a35e411ba44%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Tracklements-Hot-Habanero-Chilli-Jam-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Tracklements-Hot-Habanero-Chilli-Jam-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:54	270235/270235	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:49%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=541	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index1851.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:54	20950/20950	---M--	200	added ('OK')	image/png	etag:%2251d6-57a35e410e36b%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Strawberry-Rhubard-Vanilla-Jam-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/The-Cherry-Tree-Strawberry-Rhubard-Vanilla-Jam-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:55	272739/272739	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:50%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=539	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexc44a.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:50:58	275349/275349	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:50:56%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=537	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index4f50.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:00	16767/16767	---M--	200	added ('OK')	image/png	etag:%22417f-57a35e410e753%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/biona-salsa-hot-113x96.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/biona-salsa-hot-113x96.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:00	28901/28901	---M--	200	added ('OK')	image/png	etag:%2270e5-57a35e41154b4%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Kitchen-Garden-English-Plum-Jam-Organic-113x143.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Kitchen-Garden-English-Plum-Jam-Organic-113x143.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:01	17176/17176	---M--	200	added ('OK')	image/png	etag:%224318-57a35e410c42b%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/biona-salsa-mild-113x96.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/biona-salsa-mild-113x96.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:02	277669/277669	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:01%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=459	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexcfa5.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:03	279999/279999	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:02%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=457	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index7c30.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:07	23267/23267	---M--	200	added ('OK')	image/png	etag:%225ae3-57a35e410cbfb%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Organic-Apricot-Fruit-Spread-113x146.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Organic-Apricot-Fruit-Spread-113x146.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:07	32922/32922	---M--	200	added ('OK')	image/png	etag:%22809a-57a35e40fe96a%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/07/product1-113x163.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/07/product1-113x163.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:09	282287/282287	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:05%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=417	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexba26.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:10	284119/284119	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:08%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=409	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/index700f.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:13	285921/285921	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:11%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=408	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexa948.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:14	22013/22013	---M--	200	added ('OK')	image/png	etag:%2255fd-57a35e410666a%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Gourmet-Chestnut-Spread-113x153.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Gourmet-Chestnut-Spread-113x153.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:15	426207/426207	---M--	200	added ('OK')	image/png	etag:%22680df-57a35e41004c2%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/07/about-food.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/07/about-food.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:16	287719/287719	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2009:51:15%20GMT	http://demo.cmssuperheroes.com/themeforest/raworganic/home/?add-to-cart=401	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/home/indexd6b6.html	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:17	33960/33960	---M--	200	added ('OK')	image/png	etag:%2284a8-57a35e410c043%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Chocolate-Hazelnut-Spread.png	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/Chocolate-Hazelnut-Spread.png	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:20	35455/35455	---M--	200	added ('OK')	image/jpeg	etag:%228a7f-57a35e411d59c%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/recipe12-680x380.jpg	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/recipe12-680x380.jpg	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
16:51:20	27787/27787	---M--	200	added ('OK')	image/jpeg	etag:%226c8b-57a35e410d7b3%22	http://demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/recipe11-680x380.jpg	E:/html%20exame/eproject/do/demo.cmssuperheroes.com/themeforest/raworganic/wp-content/uploads/2018/08/recipe11-680x380.jpg	(from http://demo.cmssuperheroes.com/themeforest/raworganic/home/)
